0,1,0
0,2,0
1,1,0
1,2,0
1,3,0
2,1,0
2,2,0
2,3,1
3,1,0
3,2,1
3,3,1
3,4,1
4,1,0
4,2,1
4,3,1
4,4,1
5,1,0
5,2,0
5,3,1
5,4,1
6,1,0
6,2,1
7,1,0
7,2,0
8,1,0
8,2,0
8,3,1
9,1,0
10,1,0
10,2,0
10,3,0
11,1,0
11,2,0
11,3,0
12,1,0
12,2,1
12,3,1
13,1,0
14,1,0
14,2,1
14,3,0
15,1,0
15,2,0
15,3,1
16,1,0
16,2,1
17,1,0
17,2,1
18,1,0
18,2,1
19,1,1
19,2,1
20,1,0
20,2,0
21,1,0
21,2,1
22,1,0
22,2,0
22,3,0
23,1,1
24,1,0
24,2,0
25,1,0
25,2,1
25,3,1
25,4,1
26,1,1
27,1,0
27,2,0
27,3,1
28,1,0
28,2,0
28,3,1
28,4,0
29,1,0
30,1,1
30,2,1
31,1,0
31,2,0
31,3,1
31,4,1
32,1,0
32,2,0
33,1,0
33,2,0
33,3,0
34,1,0
34,2,0
35,1,0
35,2,0
35,3,1
36,1,0
36,2,0
36,3,1
36,4,1
36,5,1
37,1,0
37,2,1
37,3,1
37,4,1
38,1,0
38,2,0
39,1,0
39,2,0
39,3,0
40,1,0
40,2,1
40,3,0
41,1,0
41,2,1
42,1,0
42,2,0
42,3,0
43,1,0
43,2,0
43,3,1
44,1,0
44,2,0
44,3,0
45,1,0
46,1,0
46,2,0
46,3,1
47,1,0
47,2,0
47,3,0
48,1,0
48,2,0
48,3,1
49,1,0
49,2,0
49,3,1
50,1,0
51,1,0
51,2,1
52,1,0
52,2,0
52,3,1
53,1,1
53,2,1
54,1,0
54,2,1
54,3,1
54,4,1
55,1,0
55,2,1
55,3,1
56,1,1
56,2,1
57,1,1
58,1,0
59,1,1
60,1,0
60,2,0
61,1,0
61,2,1
61,3,0
62,1,0
62,2,0
62,3,1
63,1,0
63,2,0
63,3,1
63,4,1
64,1,1
64,2,1
64,3,0
65,1,0
65,2,0
65,3,1
66,1,0
66,2,0
66,3,0
67,1,0
67,2,0
67,3,0
68,1,0
68,2,0
68,3,0
69,1,0
69,2,0
70,1,0
70,2,1
71,1,0
71,2,0
72,1,0
72,2,1
72,3,0
73,1,0
73,2,0
73,3,1
74,1,0
75,1,1
75,2,1
75,3,1
76,1,0
77,1,0
77,2,0
78,1,1
78,2,0
79,1,0
79,2,1
80,1,0
80,2,1
81,1,1
81,2,0
81,3,1
82,1,0
82,2,0
82,3,1
83,1,0
84,1,1
84,2,0
84,3,1
84,4,1
85,1,0
85,2,1
85,3,0
86,1,0
86,2,1
86,3,1
86,4,1
87,1,0
87,2,0
87,3,1
87,4,1
88,1,0
88,2,1
88,3,0
88,4,1
89,1,1
89,2,0
89,3,0
90,1,0
90,2,0
91,1,0
91,2,0
91,3,0
92,1,0
92,2,0
92,3,1
93,1,0
93,2,0
94,1,0
95,1,0
95,2,0
96,1,0
97,1,0
97,2,1
97,3,1
98,1,0
98,2,0
99,1,0
100,1,0
101,1,0
101,2,0
101,3,0
101,4,1
102,1,1
102,2,0
102,3,0
103,1,1
103,2,1
103,3,0
104,1,0
104,2,0
104,3,1
104,4,1
104,5,1
105,1,0
106,1,0
106,2,0
107,1,1
107,2,1
108,1,1
109,1,0
110,1,1
110,2,1
111,1,0
111,2,0
112,1,0
112,2,1
113,1,0
113,2,0
113,3,1
114,1,0
114,2,1
114,3,0
114,4,1
115,1,0
115,2,1
115,3,1
115,4,1
116,1,0
116,2,0
116,3,0
116,4,1
116,5,0
